Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 8181+'],[' 4092'],"[' 1013.368s (Solving', ' 965.71s 1st Model', ' 889.55s Unsat', ' 0.00s)']",[' 1011.625s'], ,[' 796165833'],"[' 1449805  (Analyzed', ' 657818)']","[' 4809     (Average', ' 136.79 Last', ' 149179)']",[' 19686.7 '],"[' 4092     (Average Length', ' 2045.50 Splits', ' 0)']","[' 657818   (Deleted', ' 590240)']","[' 221      (Ratio', '   0.03%)']","[' 64792    (Ratio', '   9.85%)']","[' 657818   (Average Length', '   43.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 657818   (Average', ' 1099.06 Max', ' 18300 Sum', ' 722983288)']","[' 657818   (Average', ' 1099.06 Max', ' 18300 Sum', ' 722983288 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104946  '],[' 19125   '],[' 108286  '],[' 79041   '],"[' 237119   (Atom=Atom', ' 60664 Body=Body', ' 38200 Other', ' 138255)']",[' Yes'],"[' 23215    (Eliminated', '    0 Frozen', ' 23215)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.73338'],[' 0'], ,[' 288.585'],[' 0'],[' 41.4078'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5867e+09'],[' 1.48483e+09'],[' 0'],[' 4.48391e+09'],[' 0'],[' 0'],[' 3594 '],[' 1 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 5815+'],[' 2909'],"[' 1008.448s (Solving', ' 976.03s 1st Model', ' 920.20s Unsat', ' 0.00s)']",[' 1006.188s'], ,[' 772649533'],"[' 1277542  (Analyzed', ' 660289)']","[' 4101     (Average', ' 161.01 Last', ' 219589)']",[' 19387.8 '],"[' 2909     (Average Length', ' 1454.00 Splits', ' 0)']","[' 660289   (Deleted', ' 588490)']","[' 214      (Ratio', '   0.03%)']","[' 67974    (Ratio', '  10.29%)']","[' 660289   (Average Length', '   44.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 660289   (Average', ' 1089.95 Max', ' 18283 Sum', ' 719679664)']","[' 660289   (Average', ' 1089.95 Max', ' 18283 Sum', ' 719679664 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103763  '],[' 19125   '],[' 105920  '],[' 77858   '],"[' 233570   (Atom=Atom', ' 59481 Body=Body', ' 38200 Other', ' 135889)']",[' Yes'],"[' 22032    (Eliminated', '    0 Frozen', ' 22032)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.3928'],[' 0'], ,[' 287.128'],[' 0'],[' 40.9843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63061e+09'],[' 1.52697e+09'],[' 0'],[' 4.38964e+09'],[' 0'],[' 0'],[' 3638 '],[' 1 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 7347+'],[' 3675'],"[' 1012.591s (Solving', ' 970.08s 1st Model', ' 906.07s Unsat', ' 0.00s)']",[' 1010.406s'], ,[' 776833629'],"[' 1269034  (Analyzed', ' 679607)']","[' 4524     (Average', ' 150.22 Last', ' 153113)']",[' 19460.5 '],"[' 3675     (Average Length', ' 1837.00 Splits', ' 0)']","[' 679607   (Deleted', ' 611855)']","[' 223      (Ratio', '   0.03%)']","[' 64907    (Ratio', '   9.55%)']","[' 679607   (Average Length', '   41.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 679607   (Average', ' 1046.60 Max', ' 18298 Sum', ' 711279924)']","[' 679607   (Average', ' 1046.60 Max', ' 18298 Sum', ' 711279924 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104529  '],[' 19125   '],[' 107452  '],[' 78624   '],"[' 235868   (Atom=Atom', ' 60247 Body=Body', ' 38200 Other', ' 137421)']",[' Yes'],"[' 22798    (Eliminated', '    0 Frozen', ' 22798)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.8751'],[' 0'], ,[' 286.108'],[' 0'],[' 41.3081'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6074e+09'],[' 1.50288e+09'],[' 0'],[' 4.36162e+09'],[' 0'],[' 0'],[' 3388 '],[' 1 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 5597+'],[' 2800'],"[' 1009.116s (Solving', ' 976.91s 1st Model', ' 815.71s Unsat', ' 0.00s)']",[' 1006.922s'], ,[' 762614064'],"[' 1141119  (Analyzed', ' 685124)']","[' 3782     (Average', ' 181.15 Last', ' 227493)']",[' 19194.0 '],"[' 2800     (Average Length', ' 1399.50 Splits', ' 0)']","[' 685124   (Deleted', ' 612916)']","[' 235      (Ratio', '   0.03%)']","[' 67641    (Ratio', '   9.87%)']","[' 685124   (Average Length', '   42.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 685124   (Average', ' 1039.45 Max', ' 18205 Sum', ' 712152368)']","[' 685124   (Average', ' 1039.45 Max', ' 18205 Sum', ' 712152368 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103654  '],[' 19125   '],[' 105702  '],[' 77749   '],"[' 233243   (Atom=Atom', ' 59372 Body=Body', ' 38200 Other', ' 135671)']",[' Yes'],"[' 21923    (Eliminated', '    0 Frozen', ' 21923)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.19907'],[' 0'], ,[' 282.836'],[' 0'],[' 41.2979'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65809e+09'],[' 1.55244e+09'],[' 0'],[' 4.20525e+09'],[' 0'],[' 0'],[' 3434 '],[' 1 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 6729+'],[' 3366'],"[' 1012.169s (Solving', ' 969.53s 1st Model', ' 881.03s Unsat', ' 0.00s)']",[' 1007.875s'], ,[' 672974461'],"[' 1105846  (Analyzed', ' 545607)']","[' 4001     (Average', ' 136.37 Last', ' 89941)']",[' 19448.3 '],"[' 3366     (Average Length', ' 1682.50 Splits', ' 0)']","[' 545607   (Deleted', ' 483350)']","[' 182      (Ratio', '   0.03%)']","[' 57192    (Ratio', '  10.48%)']","[' 545607   (Average Length', '   43.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 545607   (Average', ' 1122.51 Max', ' 18283 Sum', ' 612451829)']","[' 545607   (Average', ' 1122.51 Max', ' 18283 Sum', ' 612451829 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104220  '],[' 19125   '],[' 106834  '],[' 78315   '],"[' 234941   (Atom=Atom', ' 59938 Body=Body', ' 38200 Other', ' 136803)']",[' Yes'],"[' 22489    (Eliminated', '    0 Frozen', ' 22489)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.9023'],[' 0'], ,[' 297.612'],[' 0'],[' 42.0231'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26156e+09'],[' 1.17872e+09'],[' 0'],[' 3.5433e+09'],[' 0'],[' 0'],[' 3599 '],[' 1 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 7231+'],[' 3617'],"[' 1014.790s (Solving', ' 964.06s 1st Model', ' 830.61s Unsat', ' 0.00s)']",[' 1010.031s'], ,[' 677035869'],"[' 1492283  (Analyzed', ' 538851)']","[' 4336     (Average', ' 124.27 Last', ' 21275)']",[' 19474.8 '],"[' 3617     (Average Length', ' 1808.00 Splits', ' 0)']","[' 538851   (Deleted', ' 478446)']","[' 181      (Ratio', '   0.03%)']","[' 55177    (Ratio', '  10.24%)']","[' 538851   (Average Length', '   42.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 538851   (Average', ' 1135.79 Max', ' 18291 Sum', ' 612023238)']","[' 538851   (Average', ' 1135.79 Max', ' 18291 Sum', ' 612023238 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104471  '],[' 19125   '],[' 107336  '],[' 78566   '],"[' 235694   (Atom=Atom', ' 60189 Body=Body', ' 38200 Other', ' 137305)']",[' Yes'],"[' 22740    (Eliminated', '    0 Frozen', ' 22740)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.88021'],[' 0'], ,[' 304.75'],[' 0'],[' 42.4959'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24857e+09'],[' 1.16652e+09'],[' 0'],[' 3.77101e+09'],[' 0'],[' 0'],[' 3465 '],[' 1 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 7439+'],[' 3721'],"[' 1014.664s (Solving', ' 967.74s 1st Model', ' 748.06s Unsat', ' 0.00s)']",[' 1010.094s'], ,[' 690205774'],"[' 1190371  (Analyzed', ' 544463)']","[' 4034     (Average', ' 134.97 Last', ' 77852)']",[' 19524.5 '],"[' 3721     (Average Length', ' 1860.00 Splits', ' 0)']","[' 544463   (Deleted', ' 482441)']","[' 208      (Ratio', '   0.04%)']","[' 57119    (Ratio', '  10.49%)']","[' 544463   (Average Length', '   43.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 544463   (Average', ' 1145.50 Max', ' 18302 Sum', ' 623683417)']","[' 544463   (Average', ' 1145.50 Max', ' 18302 Sum', ' 623683417 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104575  '],[' 19125   '],[' 107544  '],[' 78670   '],"[' 236006   (Atom=Atom', ' 60293 Body=Body', ' 38200 Other', ' 137513)']",[' Yes'],"[' 22844    (Eliminated', '    0 Frozen', ' 22844)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.42675'],[' 0'], ,[' 298.385'],[' 0'],[' 42.034'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28201e+09'],[' 1.19966e+09'],[' 0'],[' 3.61063e+09'],[' 0'],[' 0'],[' 3695 '],[' 1 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 6225+'],[' 3114'],"[' 1011.855s (Solving', ' 969.19s 1st Model', ' 880.04s Unsat', ' 0.00s)']",[' 1007.844s'], ,[' 671577316'],"[' 1011026  (Analyzed', ' 520720)']","[' 3824     (Average', ' 136.17 Last', ' 70340)']",[' 19322.8 '],"[' 3114     (Average Length', ' 1556.50 Splits', ' 0)']","[' 520720   (Deleted', ' 462039)']","[' 178      (Ratio', '   0.03%)']","[' 54296    (Ratio', '  10.43%)']","[' 520720   (Average Length', '   43.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 520720   (Average', ' 1182.22 Max', ' 18296 Sum', ' 615605391)']","[' 520720   (Average', ' 1182.22 Max', ' 18296 Sum', ' 615605391 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 103968  '],[' 19125   '],[' 106330  '],[' 78063   '],"[' 234185   (Atom=Atom', ' 59686 Body=Body', ' 38200 Other', ' 136299)']",[' Yes'],"[' 22237    (Eliminated', '    0 Frozen', ' 22237)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.80198'],[' 0'], ,[' 300.968'],[' 0'],[' 42.7898'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25437e+09'],[' 1.17231e+09'],[' 0'],[' 3.37653e+09'],[' 0'],[' 0'],[' 3642 '],[' 1 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 7267+'],[' 3635'],"[' 1013.794s (Solving', ' 963.38s 1st Model', ' 879.33s Unsat', ' 0.00s)']",[' 1010.547s'], ,[' 668717220'],"[' 1244033  (Analyzed', ' 535370)']","[' 4078     (Average', ' 131.28 Last', ' 130465)']",[' 19531.9 '],"[' 3635     (Average Length', ' 1817.00 Splits', ' 0)']","[' 535370   (Deleted', ' 475664)']","[' 174      (Ratio', '   0.03%)']","[' 55577    (Ratio', '  10.38%)']","[' 535370   (Average Length', '   42.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 535370   (Average', ' 1127.22 Max', ' 18288 Sum', ' 603479610)']","[' 535369   (Average', ' 1127.19 Max', ' 18288 Sum', ' 603461470 Ratio', ' 100.00%)']","[' 1        (Average', ' 18140.00 Max', ' 18140 Sum', '  18140 Ratio', '   0.00%)']", ,[' 104489  '],[' 19125   '],[' 107372  '],[' 78584   '],"[' 235748   (Atom=Atom', ' 60207 Body=Body', ' 38200 Other', ' 137341)']",[' Yes'],"[' 22758    (Eliminated', '    0 Frozen', ' 22758)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.92337'],[' 0'], ,[' 303.164'],[' 0'],[' 42.4355'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22775e+09'],[' 1.14589e+09'],[' 0'],[' 3.57767e+09'],[' 0'],[' 0'],[' 3497 '],[' 1 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 7621+'],[' 3812'],"[' 1014.979s (Solving', ' 963.00s 1st Model', ' 781.59s Unsat', ' 0.00s)']",[' 1012.000s'], ,[' 680650068'],"[' 1153186  (Analyzed', ' 547637)']","[' 4218     (Average', ' 129.83 Last', ' 97058)']",[' 19548.6 '],"[' 3812     (Average Length', ' 1905.50 Splits', ' 0)']","[' 547637   (Deleted', ' 486214)']","[' 171      (Ratio', '   0.03%)']","[' 56644    (Ratio', '  10.34%)']","[' 547637   (Average Length', '   42.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 547637   (Average', ' 1118.68 Max', ' 18288 Sum', ' 612628256)']","[' 547637   (Average', ' 1118.68 Max', ' 18288 Sum', ' 612628256 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 104666  '],[' 19125   '],[' 107726  '],[' 78761   '],"[' 236279   (Atom=Atom', ' 60384 Body=Body', ' 38200 Other', ' 137695)']",[' Yes'],"[' 22935    (Eliminated', '    0 Frozen', ' 22935)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.04846'],[' 0'], ,[' 297.806'],[' 0'],[' 41.9237'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.306e+09'],[' 1.2199e+09'],[' 0'],[' 3.61942e+09'],[' 0'],[' 0'],[' 3469 '],[' 1 '],[' 0 ']
