Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 
Solving...,TA31, , ,[' 677'],[' 345'],"[' 3.546s (Solving', ' 2.67s 1st Model', ' 0.34s Unsat', ' 0.20s)']",[' 3.422s'], ,[' 417379  '],"[' 126431   (Analyzed', ' 11243)']","[' 291      (Average', ' 38.64 Last', ' 193)']",[' 772.0   '],"[' 345      (Average Length', ' 166.08 Splits', ' 0)']","[' 11243    (Deleted', ' 4103)']","[' 53       (Ratio', '   0.47%)']","[' 317      (Ratio', '   2.82%)']","[' 11243    (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11243    (Average', '  8.59 Max', ' 348 Sum', '  96603)']","[' 11190    (Average', '  8.59 Max', ' 348 Sum', '  96550 Ratio', '  99.95%)']","[' 53       (Average', '  1.00 Max', '   1 Sum', '     53 Ratio', '   0.05%)']", ,[' 30322   '],[' 1519    '],[' 30200   '],[' 16223   '],"[' 48665    (Atom=Atom', ' 15152 Body=Body', ' 8464 Other', ' 25049)']",[' Yes'],"[' 1847     (Eliminated', '    0 Frozen', ' 1847)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.237368'],[' 0'], ,[' 1.25168'],[' 0'],[' 0.0294966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.57355e+06'],[' 2.28912e+06'],[' 0'],[' 1.01036e+08'],[' 0'],[' 0'],[' 413 '],[' 836 '],[' 1232 '],[' 1657 '],[' 2025 '],[' 2411 ']
Solving...,TA32, , ,[' 619'],[' 316'],"[' 14.429s (Solving', ' 13.39s 1st Model', ' 0.34s Unsat', ' 0.38s)']",[' 14.359s'], ,[' 848050  '],"[' 417070   (Analyzed', ' 282824)']","[' 1136     (Average', ' 248.96 Last', ' 171)']",[' 869.5   '],"[' 316      (Average Length', ' 152.61 Splits', ' 0)']","[' 282824   (Deleted', ' 269662)']","[' 35       (Ratio', '   0.01%)']","[' 662      (Ratio', '   0.23%)']","[' 282824   (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 282824   (Average', '  1.71 Max', ' 579 Sum', ' 483722)']","[' 282778   (Average', '  1.70 Max', ' 551 Sum', ' 480767 Ratio', '  99.39%)']","[' 46       (Average', ' 64.24 Max', ' 228 Sum', '   2955 Ratio', '   0.61%)']", ,[' 31115   '],[' 1588    '],[' 30969   '],[' 16831   '],"[' 50489    (Atom=Atom', ' 15691 Body=Body', ' 8533 Other', ' 26265)']",[' Yes'],"[' 1892     (Eliminated', '    0 Frozen', ' 1892)']","[' 37       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.243544'],[' 0'], ,[' 10.2756'],[' 0'],[' 0.200118'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.97034e+06'],[' 3.00599e+06'],[' 0'],[' 1.45227e+09'],[' 0'],[' 0'],[' 486 '],[' 1017 '],[' 1338 '],[' 1616 '],[' 2102 '],[' 2531 ']
Solving...,TA33, , ,[' 563'],[' 288'],"[' 13.046s (Solving', ' 12.12s 1st Model', ' 0.33s Unsat', ' 0.10s)']",[' 12.969s'], ,[' 1043412 '],"[' 474727   (Analyzed', ' 447542)']","[' 1134     (Average', ' 394.66 Last', ' 27943)']",[' 727.9   '],"[' 288      (Average Length', ' 139.35 Splits', ' 0)']","[' 447542   (Deleted', ' 433196)']","[' 36       (Ratio', '   0.01%)']","[' 697      (Ratio', '   0.16%)']","[' 447542   (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 447542   (Average', '  1.87 Max', ' 984 Sum', ' 836065)']","[' 447484   (Average', '  1.86 Max', ' 984 Sum', ' 831896 Ratio', '  99.50%)']","[' 58       (Average', ' 71.88 Max', ' 222 Sum', '   4169 Ratio', '   0.50%)']", ,[' 30493   '],[' 1560    '],[' 30321   '],[' 16465   '],"[' 49391    (Atom=Atom', ' 15353 Body=Body', ' 8505 Other', ' 25533)']",[' Yes'],"[' 1838     (Eliminated', '    0 Frozen', ' 1838)']","[' 107      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.194459'],[' 0'], ,[' 8.93275'],[' 0'],[' 0.217751'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.93041e+06'],[' 2.65648e+06'],[' 0'],[' 1.0046e+09'],[' 0'],[' 0'],[' 464 '],[' 842 '],[' 1426 '],[' 1867 '],[' 2335 '],[' 2813 ']
Solving...,TA34, ,[' 1'],[' 573+'],[' 293'],"[' 13.959s (Solving', ' 13.06s 1st Model', ' 0.30s Unsat', ' 1.02s)']",[' 13.938s'], ,[' 746875  '],"[' 360836   (Analyzed', ' 286073)']","[' 1110     (Average', ' 257.72 Last', ' 526)']",[' 783.1   '],"[' 293      (Average Length', ' 141.24 Splits', ' 0)']","[' 286073   (Deleted', ' 273251)']","[' 45       (Ratio', '   0.02%)']","[' 720      (Ratio', '   0.25%)']","[' 286073   (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 286073   (Average', '  1.68 Max', ' 688 Sum', ' 479746)']","[' 286029   (Average', '  1.68 Max', ' 688 Sum', ' 479534 Ratio', '  99.96%)']","[' 44       (Average', '  4.82 Max', ' 169 Sum', '    212 Ratio', '   0.04%)']", ,[' 30080   '],[' 1504    '],[' 29911   '],[' 16070   '],"[' 48206    (Atom=Atom', ' 15014 Body=Body', ' 8449 Other', ' 24743)']",[' Yes'],"[' 1785     (Eliminated', '    0 Frozen', ' 1785)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.209171'],[' 0'], ,[' 9.91646'],[' 0'],[' 0.183438'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.54727e+06'],[' 2.65748e+06'],[' 0'],[' 1.42137e+09'],[' 0'],[' 0'],[' 510 '],[' 911 '],[' 1340 '],[' 1703 '],[' 2160 '],[' 2802 ']
Solving...,TA35, , ,[' 445'],[' 229'],"[' 13.273s (Solving', ' 12.57s 1st Model', ' 0.30s Unsat', ' 11.46s)']",[' 13.141s'], ,[' 1395891 '],"[' 675482   (Analyzed', ' 668457)']","[' 1899     (Average', ' 352.00 Last', ' 250)']",[' 746.9   '],"[' 229      (Average Length', ' 110.17 Splits', ' 0)']","[' 668457   (Deleted', ' 650524)']","[' 70       (Ratio', '   0.01%)']","[' 1025     (Ratio', '   0.15%)']","[' 668457   (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 668457   (Average', '  1.85 Max', ' 1004 Sum', ' 1234689)']","[' 668370   (Average', '  1.84 Max', ' 1004 Sum', ' 1232129 Ratio', '  99.79%)']","[' 87       (Average', ' 29.43 Max', ' 168 Sum', '   2560 Ratio', '   0.21%)']", ,[' 30655   '],[' 1582    '],[' 30425   '],[' 16684   '],"[' 50048    (Atom=Atom', ' 15550 Body=Body', ' 8527 Other', ' 25971)']",[' Yes'],"[' 1802     (Eliminated', '    0 Frozen', ' 1802)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.170862'],[' 0'], ,[' 7.84587'],[' 0'],[' 0.207261'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56629e+06'],[' 2.98784e+06'],[' 0'],[' 8.71574e+08'],[' 0'],[' 0'],[' 484 '],[' 1007 '],[' 1318 '],[' 1726 '],[' 2287 '],[' 2800 ']
Solving...,TA36, , ,[' 673'],[' 343'],"[' 5.213s (Solving', ' 4.20s 1st Model', ' 0.41s Unsat', ' 2.03s)']",[' 5.063s'], ,[' 509702  '],"[' 149318   (Analyzed', ' 65658)']","[' 490      (Average', ' 134.00 Last', ' 963)']",[' 818.6   '],"[' 343      (Average Length', ' 166.57 Splits', ' 0)']","[' 65658    (Deleted', ' 59076)']","[' 47       (Ratio', '   0.07%)']","[' 500      (Ratio', '   0.76%)']","[' 65658    (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 65658    (Average', '  3.13 Max', ' 1027 Sum', ' 205601)']","[' 65605    (Average', '  3.12 Max', ' 1027 Sum', ' 204663 Ratio', '  99.54%)']","[' 53       (Average', ' 17.70 Max', ' 205 Sum', '    938 Ratio', '   0.46%)']", ,[' 30421   '],[' 1545    '],[' 30304   '],[' 16419   '],"[' 49253    (Atom=Atom', ' 15322 Body=Body', ' 8490 Other', ' 25441)']",[' Yes'],"[' 1878     (Eliminated', '    0 Frozen', ' 1878)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.251602'],[' 0'], ,[' 2.50916'],[' 0'],[' 0.0586463'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.87072e+06'],[' 2.48754e+06'],[' 0'],[' 2.94804e+08'],[' 0'],[' 0'],[' 492 '],[' 900 '],[' 1272 '],[' 1627 '],[' 2074 '],[' 2511 ']
Solving...,TA37, , ,[' 703'],[' 358'],"[' 13.869s (Solving', ' 12.92s 1st Model', ' 0.30s Unsat', ' 0.63s)']",[' 13.875s'], ,[' 696731  '],"[' 323600   (Analyzed', ' 267337)']","[' 947      (Average', ' 282.30 Last', ' 346)']",[' 731.3   '],"[' 358      (Average Length', ' 174.01 Splits', ' 0)']","[' 267337   (Deleted', ' 256077)']","[' 47       (Ratio', '   0.02%)']","[' 565      (Ratio', '   0.21%)']","[' 267337   (Average Length', '    9.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 267337   (Average', '  1.66 Max', ' 994 Sum', ' 442889)']","[' 267275   (Average', '  1.64 Max', ' 994 Sum', ' 437385 Ratio', '  98.76%)']","[' 62       (Average', ' 88.77 Max', ' 289 Sum', '   5504 Ratio', '   1.24%)']", ,[' 30221   '],[' 1527    '],[' 30116   '],[' 16166   '],"[' 48494    (Atom=Atom', ' 15087 Body=Body', ' 8472 Other', ' 24935)']",[' Yes'],"[' 1872     (Eliminated', '    0 Frozen', ' 1872)']","[' 27       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.212997'],[' 0'], ,[' 9.96148'],[' 0'],[' 0.199665'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.16152e+06'],[' 2.34421e+06'],[' 0'],[' 1.43821e+09'],[' 0'],[' 0'],[' 370 '],[' 756 '],[' 1176 '],[' 1563 '],[' 2097 '],[' 2554 ']
Solving...,TA38, , ,[' 543'],[' 278'],"[' 13.880s (Solving', ' 13.06s 1st Model', ' 0.28s Unsat', ' 0.35s)']",[' 13.828s'], ,[' 785296  '],"[' 418073   (Analyzed', ' 286096)']","[' 1155     (Average', ' 247.70 Last', ' 1932)']",[' 856.6   '],"[' 278      (Average Length', ' 134.92 Splits', ' 0)']","[' 286096   (Deleted', ' 272874)']","[' 41       (Ratio', '   0.01%)']","[' 614      (Ratio', '   0.21%)']","[' 286096   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 286096   (Average', '  1.58 Max', ' 471 Sum', ' 451137)']","[' 286039   (Average', '  1.56 Max', ' 439 Sum', ' 447498 Ratio', '  99.19%)']","[' 57       (Average', ' 63.84 Max', ' 200 Sum', '   3639 Ratio', '   0.81%)']", ,[' 30304   '],[' 1560    '],[' 30124   '],[' 16551   '],"[' 49649    (Atom=Atom', ' 15439 Body=Body', ' 8505 Other', ' 25705)']",[' Yes'],"[' 1830     (Eliminated', '    0 Frozen', ' 1830)']","[' 51       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.216784'],[' 0'], ,[' 10.0018'],[' 0'],[' 0.196653'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.58338e+06'],[' 2.68552e+06'],[' 0'],[' 1.43375e+09'],[' 0'],[' 0'],[' 573 '],[' 1020 '],[' 1338 '],[' 1661 '],[' 2175 '],[' 2609 ']
Solving...,TA39, , ,[' 449'],[' 231'],"[' 13.526s (Solving', ' 12.76s 1st Model', ' 0.17s Unsat', ' 0.42s)']",[' 13.422s'], ,[' 1937202 '],"[' 1268032  (Analyzed', ' 1182935)']","[' 2846     (Average', ' 415.65 Last', ' 6651)']",[' 709.1   '],"[' 231      (Average Length', ' 111.42 Splits', ' 0)']","[' 1182935  (Deleted', ' 1161765)']","[' 43       (Ratio', '   0.00%)']","[' 739      (Ratio', '   0.06%)']","[' 1182935  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1182935  (Average', '  1.42 Max', ' 447 Sum', ' 1674312)']","[' 1182882  (Average', '  1.41 Max', ' 361 Sum', ' 1672495 Ratio', '  99.89%)']","[' 53       (Average', ' 34.28 Max', ' 178 Sum', '   1817 Ratio', '   0.11%)']", ,[' 30789   '],[' 1551    '],[' 30559   '],[' 16641   '],"[' 49919    (Atom=Atom', ' 15538 Body=Body', ' 8496 Other', ' 25885)']",[' Yes'],"[' 1771     (Eliminated', '    0 Frozen', ' 1771)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.165818'],[' 0'], ,[' 6.49465'],[' 0'],[' 0.20828'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.94769e+06'],[' 3.09122e+06'],[' 0'],[' 4.34454e+08'],[' 0'],[' 0'],[' 641 '],[' 997 '],[' 1482 '],[' 1910 '],[' 2259 '],[' 2586 ']
Solving...,TA40, , ,[' 541'],[' 277'],"[' 14.257s (Solving', ' 13.37s 1st Model', ' 0.20s Unsat', ' 0.67s)']",[' 14.109s'], ,[' 722542  '],"[' 414897   (Analyzed', ' 310532)']","[' 1209     (Average', ' 256.85 Last', ' 659)']",[' 716.9   '],"[' 277      (Average Length', ' 133.15 Splits', ' 0)']","[' 310532   (Deleted', ' 298554)']","[' 54       (Ratio', '   0.02%)']","[' 690      (Ratio', '   0.22%)']","[' 310532   (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 310532   (Average', '  1.45 Max', ' 580 Sum', ' 449976)']","[' 310475   (Average', '  1.45 Max', ' 580 Sum', ' 448741 Ratio', '  99.73%)']","[' 57       (Average', ' 21.67 Max', ' 191 Sum', '   1235 Ratio', '   0.27%)']", ,[' 30100   '],[' 1517    '],[' 29915   '],[' 16147   '],"[' 48437    (Atom=Atom', ' 15078 Body=Body', ' 8462 Other', ' 24897)']",[' Yes'],"[' 1782     (Eliminated', '    0 Frozen', ' 1782)']","[' 32       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.194239'],[' 0'], ,[' 10.4228'],[' 0'],[' 0.21303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.18489e+06'],[' 2.24602e+06'],[' 0'],[' 1.48941e+09'],[' 0'],[' 0'],[' 469 '],[' 805 '],[' 1232 '],[' 1595 '],[' 2132 '],[' 2502 ']
