Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 5357+'],[' 2686'],"[' 609.171s (Solving', ' 578.61s 1st Model', ' 48.22s Unsat', ' 0.00s)']",[' 605.859s'], ,[' 151167573'],"[' 9287408  (Analyzed', ' 8896632)']","[' 18964    (Average', ' 469.13 Last', ' 38455)']",[' 6493.1  '],"[' 2686     (Average Length', ' 1412.84 Splits', ' 0)']","[' 8896632  (Deleted', ' 8767136)']","[' 55       (Ratio', '   0.00%)']","[' 25515    (Ratio', '   0.29%)']","[' 8896632  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8896632  (Average', ' 15.71 Max', ' 9009 Sum', ' 139741031)']","[' 8894416  (Average', ' 15.36 Max', ' 9009 Sum', ' 136630443 Ratio', '  97.77%)']","[' 2216     (Average', ' 1403.69 Max', ' 2020 Sum', ' 3110588 Ratio', '   2.23%)']", ,[' 296056  '],[' 13710   '],[' 268939  '],[' 100619  '],"[' 259295   (Atom=Atom', ' 71541 Body=Body', ' 46967 Other', ' 140787)']",[' Yes'],"[' 17486    (Eliminated', '    0 Frozen', ' 17486)']","[' 5194     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.14562'],[' 0'], ,[' 335.608'],[' 0'],[' 13.261'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.60952e+08'],[' 2.13082e+08'],[' 0'],[' 1.77002e+10'],[' 0'],[' 0'],[' 1187 '],[' 2244 '],[' 2897 '],[' 3751 '],[' 4498 '],[' 5277 '],[' 5887 '],[' 7 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 5415+'],[' 2715'],"[' 609.137s (Solving', ' 579.19s 1st Model', ' 51.42s Unsat', ' 0.00s)']",[' 606.797s'], ,[' 154232414'],"[' 8481781  (Analyzed', ' 8143881)']","[' 18349    (Average', ' 443.83 Last', ' 15640)']",[' 6275.7  '],"[' 2715     (Average Length', ' 1397.35 Splits', ' 0)']","[' 8143881  (Deleted', ' 8012145)']","[' 53       (Ratio', '   0.00%)']","[' 27256    (Ratio', '   0.33%)']","[' 8143881  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8143881  (Average', ' 17.61 Max', ' 8523 Sum', ' 143447913)']","[' 8141696  (Average', ' 17.20 Max', ' 8404 Sum', ' 140113282 Ratio', '  97.68%)']","[' 2185     (Average', ' 1526.15 Max', ' 2024 Sum', ' 3334631 Ratio', '   2.32%)']", ,[' 296538  '],[' 13558   '],[' 268803  '],[' 100745  '],"[' 256964   (Atom=Atom', ' 70962 Body=Body', ' 46511 Other', ' 139491)']",[' Yes'],"[' 17339    (Eliminated', '    0 Frozen', ' 17339)']","[' 5407     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.00031'],[' 0'], ,[' 330.161'],[' 0'],[' 13.5716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.84532e+08'],[' 2.3399e+08'],[' 0'],[' 1.74928e+10'],[' 0'],[' 0'],[' 1006 '],[' 1819 '],[' 2549 '],[' 3277 '],[' 4120 '],[' 4843 '],[' 5473 '],[' 7 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 5497+'],[' 2756'],"[' 609.249s (Solving', ' 578.27s 1st Model', ' 86.09s Unsat', ' 0.00s)']",[' 604.813s'], ,[' 135981730'],"[' 9601599  (Analyzed', ' 9185219)']","[' 19746    (Average', ' 465.17 Last', ' 189624)']",[' 6567.7  '],"[' 2756     (Average Length', ' 1441.81 Splits', ' 0)']","[' 9185219  (Deleted', ' 9048894)']","[' 47       (Ratio', '   0.00%)']","[' 22880    (Ratio', '   0.25%)']","[' 9185219  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9185219  (Average', ' 13.56 Max', ' 9160 Sum', ' 124555620)']","[' 9182793  (Average', ' 13.17 Max', ' 8570 Sum', ' 120934918 Ratio', '  97.09%)']","[' 2426     (Average', ' 1492.46 Max', ' 2096 Sum', ' 3620702 Ratio', '   2.91%)']", ,[' 296417  '],[' 13672   '],[' 269157  '],[' 100733  '],"[' 258835   (Atom=Atom', ' 71459 Body=Body', ' 46853 Other', ' 140523)']",[' Yes'],"[' 17474    (Eliminated', '    0 Frozen', ' 17474)']","[' 4545     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.22208'],[' 0'], ,[' 334.338'],[' 0'],[' 12.2573'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.42158e+08'],[' 1.93088e+08'],[' 0'],[' 1.77697e+10'],[' 0'],[' 0'],[' 1246 '],[' 2121 '],[' 2838 '],[' 3620 '],[' 4434 '],[' 5228 '],[' 5860 '],[' 7 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 5477+'],[' 2746'],"[' 609.005s (Solving', ' 578.96s 1st Model', ' 44.07s Unsat', ' 0.00s)']",[' 602.734s'], ,[' 100689460'],"[' 9427196  (Analyzed', ' 9025777)']","[' 20056    (Average', ' 450.03 Last', ' 56667)']",[' 6882.8  '],"[' 2746     (Average Length', ' 1401.72 Splits', ' 0)']","[' 9025777  (Deleted', ' 8898154)']","[' 45       (Ratio', '   0.00%)']","[' 14912    (Ratio', '   0.17%)']","[' 9025777  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9025777  (Average', '  9.72 Max', ' 10943 Sum', ' 87717377)']","[' 9023713  (Average', '  9.39 Max', ' 10038 Sum', ' 84776781 Ratio', '  96.65%)']","[' 2064     (Average', ' 1424.71 Max', ' 2028 Sum', ' 2940596 Ratio', '   3.35%)']", ,[' 297235  '],[' 13627   '],[' 269493  '],[' 101063  '],"[' 258095   (Atom=Atom', ' 71269 Body=Body', ' 46718 Other', ' 140108)']",[' Yes'],"[' 17401    (Eliminated', '    0 Frozen', ' 17401)']","[' 2917     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.09579'],[' 0'], ,[' 360.405'],[' 0'],[' 11.6565'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70012e+08'],[' 1.33782e+08'],[' 0'],[' 1.90387e+10'],[' 0'],[' 0'],[' 1107 '],[' 1933 '],[' 2632 '],[' 3462 '],[' 4252 '],[' 5068 '],[' 5622 '],[' 7 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 5825+'],[' 2920'],"[' 608.969s (Solving', ' 578.84s 1st Model', ' 65.54s Unsat', ' 0.00s)']",[' 607.922s'], ,[' 141467694'],"[' 9962123  (Analyzed', ' 9658663)']","[' 21055    (Average', ' 458.73 Last', ' 80045)']",[' 6166.5  '],"[' 2920     (Average Length', ' 1520.67 Splits', ' 0)']","[' 9658663  (Deleted', ' 9522711)']","[' 80       (Ratio', '   0.00%)']","[' 28197    (Ratio', '   0.29%)']","[' 9658663  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9658663  (Average', ' 13.57 Max', ' 8588 Sum', ' 131092112)']","[' 9656292  (Average', ' 13.16 Max', ' 8290 Sum', ' 127155346 Ratio', '  97.00%)']","[' 2371     (Average', ' 1660.38 Max', ' 2814 Sum', ' 3936766 Ratio', '   3.00%)']", ,[' 297367  '],[' 13823   '],[' 270182  '],[' 101529  '],"[' 261689   (Atom=Atom', ' 72227 Body=Body', ' 47306 Other', ' 142156)']",[' Yes'],"[' 17767    (Eliminated', '    0 Frozen', ' 17767)']","[' 5957     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.09632'],[' 0'], ,[' 328.514'],[' 0'],[' 11.7053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.8192e+08'],[' 2.29347e+08'],[' 0'],[' 1.82208e+10'],[' 0'],[' 0'],[' 1157 '],[' 2021 '],[' 2826 '],[' 3627 '],[' 4388 '],[' 5152 '],[' 5742 '],[' 7 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 5653+'],[' 2834'],"[' 615.248s (Solving', ' 563.21s 1st Model', ' 87.14s Unsat', ' 0.00s)']",[' 608.469s'], ,[' 120545114'],"[' 7046518  (Analyzed', ' 6685166)']","[' 15062    (Average', ' 443.84 Last', ' 22306)']",[' 6191.0  '],"[' 2834     (Average Length', ' 1454.22 Splits', ' 0)']","[' 6685166  (Deleted', ' 6573808)']","[' 59       (Ratio', '   0.00%)']","[' 22450    (Ratio', '   0.34%)']","[' 6685166  (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6685166  (Average', ' 16.44 Max', ' 8735 Sum', ' 109909675)']","[' 6683012  (Average', ' 15.91 Max', ' 8717 Sum', ' 106392079 Ratio', '  96.80%)']","[' 2154     (Average', ' 1633.05 Max', ' 2132 Sum', ' 3517596 Ratio', '   3.20%)']", ,[' 297581  '],[' 13587   '],[' 269612  '],[' 101321  '],"[' 257766   (Atom=Atom', ' 71197 Body=Body', ' 46598 Other', ' 139971)']",[' Yes'],"[' 17417    (Eliminated', '    0 Frozen', ' 17417)']","[' 4637     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.0436'],[' 0'], ,[' 235.972'],[' 0'],[' 12.5407'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.33208e+08'],[' 1.88245e+08'],[' 0'],[' 1.06846e+10'],[' 0'],[' 0'],[' 1032 '],[' 1853 '],[' 2632 '],[' 3395 '],[' 4189 '],[' 4952 '],[' 5688 '],[' 7 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 5657+'],[' 2833'],"[' 632.449s (Solving', ' 549.73s 1st Model', ' 128.23s Unsat', ' 0.00s)']",[' 624.469s'], ,[' 74314652'],"[' 2111371  (Analyzed', ' 1526875)']","[' 4638     (Average', ' 329.21 Last', ' 21895)']",[' 7153.8  '],"[' 2833     (Average Length', ' 1437.89 Splits', ' 0)']","[' 1526875  (Deleted', ' 1472506)']","[' 18       (Ratio', '   0.00%)']","[' 11902    (Ratio', '   0.78%)']","[' 1526875  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1526875  (Average', ' 38.97 Max', ' 11556 Sum', ' 59496293)']","[' 1525304  (Average', ' 37.62 Max', ' 10182 Sum', ' 57439147 Ratio', '  96.54%)']","[' 1571     (Average', ' 1309.45 Max', ' 2102 Sum', ' 2057146 Ratio', '   3.46%)']", ,[' 295968  '],[' 13593   '],[' 268854  '],[' 100370  '],"[' 257930   (Atom=Atom', ' 71223 Body=Body', ' 46616 Other', ' 140091)']",[' Yes'],"[' 17399    (Eliminated', '    0 Frozen', ' 17399)']","[' 1926     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.4121'],[' 0'], ,[' 146.99'],[' 0'],[' 11.8223'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13129e+08'],[' 9.74417e+07'],[' 0'],[' 2.21743e+09'],[' 0'],[' 0'],[' 1216 '],[' 1979 '],[' 2638 '],[' 3402 '],[' 4219 '],[' 5102 '],[' 5757 '],[' 7 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 5375+'],[' 2694'],"[' 624.686s (Solving', ' 552.16s 1st Model', ' 106.73s Unsat', ' 0.00s)']",[' 617.469s'], ,[' 72827171'],"[' 2073980  (Analyzed', ' 1655004)']","[' 4845     (Average', ' 341.59 Last', ' 10782)']",[' 6967.1  '],"[' 2694     (Average Length', ' 1399.61 Splits', ' 0)']","[' 1655004  (Deleted', ' 1593759)']","[' 33       (Ratio', '   0.00%)']","[' 12613    (Ratio', '   0.76%)']","[' 1655004  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1655004  (Average', ' 36.39 Max', ' 11662 Sum', ' 60226616)']","[' 1652879  (Average', ' 34.61 Max', ' 9700 Sum', ' 57286054 Ratio', '  95.12%)']","[' 2125     (Average', ' 1383.79 Max', ' 2006 Sum', ' 2940562 Ratio', '   4.88%)']", ,[' 297008  '],[' 13691   '],[' 269398  '],[' 101035  '],"[' 258945   (Atom=Atom', ' 71474 Body=Body', ' 46910 Other', ' 140561)']",[' Yes'],"[' 17414    (Eliminated', '    0 Frozen', ' 17414)']","[' 2515     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.4764'],[' 0'], ,[' 171.689'],[' 0'],[' 11.847'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10879e+08'],[' 9.56466e+07'],[' 0'],[' 2.84294e+09'],[' 0'],[' 0'],[' 1194 '],[' 2009 '],[' 2801 '],[' 3592 '],[' 4307 '],[' 5075 '],[' 5694 '],[' 7 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 5613+'],[' 2814'],"[' 608.642s (Solving', ' 579.31s 1st Model', ' 53.70s Unsat', ' 0.00s)']",[' 607.406s'], ,[' 155387610'],"[' 9007525  (Analyzed', ' 8574181)']","[' 19656    (Average', ' 436.21 Last', ' 76993)']",[' 5946.0  '],"[' 2814     (Average Length', ' 1448.38 Splits', ' 0)']","[' 8574181  (Deleted', ' 8436367)']","[' 65       (Ratio', '   0.00%)']","[' 30764    (Ratio', '   0.36%)']","[' 8574181  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8574181  (Average', ' 16.92 Max', ' 8317 Sum', ' 145059987)']","[' 8572126  (Average', ' 16.54 Max', ' 8317 Sum', ' 141792028 Ratio', '  97.75%)']","[' 2055     (Average', ' 1590.25 Max', ' 2132 Sum', ' 3267959 Ratio', '   2.25%)']", ,[' 298383  '],[' 13736   '],[' 270582  '],[' 101740  '],"[' 260064   (Atom=Atom', ' 71773 Body=Body', ' 47045 Other', ' 141246)']",[' Yes'],"[' 17596    (Eliminated', '    0 Frozen', ' 17596)']","[' 6329     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.81343'],[' 0'], ,[' 319.486'],[' 0'],[' 13.219'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.1223e+08'],[' 2.57264e+08'],[' 0'],[' 1.98595e+10'],[' 0'],[' 0'],[' 1051 '],[' 1828 '],[' 2564 '],[' 3450 '],[' 4242 '],[' 5026 '],[' 5696 '],[' 7 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 5139+'],[' 2577'],"[' 607.850s (Solving', ' 582.19s 1st Model', ' 42.74s Unsat', ' 0.00s)']",[' 607.094s'], ,[' 147723372'],"[' 10707692 (Analyzed', ' 10356057)']","[' 21940    (Average', ' 472.02 Last', ' 77510)']",[' 6348.5  '],"[' 2577     (Average Length', ' 1342.47 Splits', ' 0)']","[' 10356057 (Deleted', ' 10223634)']","[' 80       (Ratio', '   0.00%)']","[' 26370    (Ratio', '   0.25%)']","[' 10356057 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10356057 (Average', ' 13.27 Max', ' 8914 Sum', ' 137408527)']","[' 10353739 (Average', ' 12.94 Max', ' 8457 Sum', ' 133956444 Ratio', '  97.49%)']","[' 2318     (Average', ' 1489.25 Max', ' 1912 Sum', ' 3452083 Ratio', '   2.51%)']", ,[' 296565  '],[' 13793   '],[' 269404  '],[' 100748  '],"[' 260182   (Atom=Atom', ' 71764 Body=Body', ' 47216 Other', ' 141202)']",[' Yes'],"[' 17460    (Eliminated', '    0 Frozen', ' 17460)']","[' 5269     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.13057'],[' 0'], ,[' 357.686'],[' 0'],[' 12.8873'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.81013e+08'],[' 2.26244e+08'],[' 0'],[' 2.23152e+10'],[' 0'],[' 0'],[' 1047 '],[' 2000 '],[' 2762 '],[' 3475 '],[' 4213 '],[' 4925 '],[' 5511 '],[' 7 '],[' 0 ']
