Optimal Found Or Timeout,Instances,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Completion Time for Window 1 is 571,Completion Time for Window 2 is 923,Completion Time for Window 3 is 1495,Completion Time for Window 4 is 2044,Completion Time for Window 5 is 2387
Restarts     ,TA31,"[' 351      (Average Length', ' 170.30 Splits', ' 0)']","[' 1594955  (Deleted', ' 1558334)']","[' 53       (Ratio', '   0.00%)']","[' 877      (Ratio', '   0.05%)']","[' 1594955  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1594955  (Average', '  1.56 Max', ' 1145 Sum', ' 2492064)']","[' 1594846  (Average', '  1.56 Max', ' 1145 Sum', ' 2482392 Ratio', '  99.61%)']","[' 109      (Average', ' 88.73 Max', ' 237 Sum', '   9672 Ratio', '   0.39%)']", ,[' 30963   '],[' 1755    '],[' 30852   '],[' 16690   '],"[' 50066    (Atom=Atom', ' 15383 Body=Body', ' 8700 Other', ' 25983)']",[' Yes'],"[' 2094     (Eliminated', '    0 Frozen', ' 2094)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.210204'],[' 0'], ,[' 52.4106'],[' 0'],[' 0.92987'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.72631e+06'],[' 4.90219e+06'],[' 0'],[' 6.91551e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
Choices      ,TA32,"[' 17663    (Average', ' 473.42 Last', ' 90034)']",[' 891.4   '],"[' 356      (Average Length', ' 174.66 Splits', ' 0)']","[' 8362049  (Deleted', ' 8229554)']","[' 25       (Ratio', '   0.00%)']","[' 1545     (Ratio', '   0.02%)']","[' 8362049  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8362049  (Average', '  1.47 Max', ' 1082 Sum', ' 12270110)']","[' 8361883  (Average', '  1.46 Max', ' 1082 Sum', ' 12243169 Ratio', '  99.78%)']","[' 166      (Average', ' 162.30 Max', ' 254 Sum', '  26941 Ratio', '   0.22%)']", ,[' 31484   '],[' 1834    '],[' 31379   '],[' 16926   '],"[' 50774    (Atom=Atom', ' 15540 Body=Body', ' 8779 Other', ' 26455)']",[' Yes'],"[' 2179     (Eliminated', '    0 Frozen', ' 2179)']","[' 218      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.239495'],[' 0'], ,[' 133.551'],[' 0'],[' 2.6705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.58332e+07'],[' 1.67898e+07'],[' 0'],[' 1.50394e+10'],[' 0'],[' 0'], , , ,[' '],[' '],[' '],[' '],[' ']
Conflicts    ,TA33,[' 945.7   '],"[' 447      (Average Length', ' 216.53 Splits', ' 0)']","[' 3445353  (Deleted', ' 3372779)']","[' 26       (Ratio', '   0.00%)']","[' 1029     (Ratio', '   0.03%)']","[' 3445353  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3445353  (Average', '  1.44 Max', ' 1123 Sum', ' 4971174)']","[' 3445226  (Average', '  1.43 Max', ' 1123 Sum', ' 4943831 Ratio', '  99.45%)']","[' 127      (Average', ' 215.30 Max', ' 324 Sum', '  27343 Ratio', '   0.55%)']", ,[' 31284   '],[' 1771    '],[' 31265   '],[' 16904   '],"[' 50708    (Atom=Atom', ' 15581 Body=Body', ' 8716 Other', ' 26411)']",[' Yes'],"[' 2202     (Eliminated', '    0 Frozen', ' 2202)']","[' 162      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.280897'],[' 0'], ,[' 101.429'],[' 0'],[' 2.03974'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68689e+07'],[' 8.53155e+06'],[' 0'],[' 1.31329e+10'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' '],[' ']
Restarts     ,TA34,"[' 364      (Average Length', ' 175.62 Splits', ' 0)']","[' 3010631  (Deleted', ' 2955872)']","[' 45       (Ratio', '   0.00%)']","[' 1100     (Ratio', '   0.04%)']","[' 3010631  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3010631  (Average', '  1.44 Max', ' 1142 Sum', ' 4325301)']","[' 3010555  (Average', '  1.43 Max', ' 1142 Sum', ' 4319625 Ratio', '  99.87%)']","[' 76       (Average', ' 74.68 Max', ' 256 Sum', '   5676 Ratio', '   0.13%)']", ,[' 30923   '],[' 1740    '],[' 30823   '],[' 16598   '],"[' 49790    (Atom=Atom', ' 15306 Body=Body', ' 8685 Other', ' 25799)']",[' Yes'],"[' 2090     (Eliminated', '    0 Frozen', ' 2090)']","[' 49       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.231162'],[' 0'], ,[' 43.9096'],[' 0'],[' 0.959753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49575e+07'],[' 7.81645e+06'],[' 0'],[' 3.92329e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
Restarts     ,TA35,"[' 355      (Average Length', ' 172.96 Splits', ' 0)']","[' 3497657  (Deleted', ' 3436209)']","[' 49       (Ratio', '   0.00%)']","[' 1129     (Ratio', '   0.03%)']","[' 3497657  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3497657  (Average', '  1.55 Max', ' 1156 Sum', ' 5438021)']","[' 3497576  (Average', '  1.55 Max', ' 1156 Sum', ' 5431736 Ratio', '  99.88%)']","[' 81       (Average', ' 77.59 Max', ' 198 Sum', '   6285 Ratio', '   0.12%)']", ,[' 31160   '],[' 1748    '],[' 31055   '],[' 16707   '],"[' 50117    (Atom=Atom', ' 15407 Body=Body', ' 8693 Other', ' 26017)']",[' Yes'],"[' 2093     (Eliminated', '    0 Frozen', ' 2093)']","[' 28       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.239601'],[' 0'], ,[' 45.709'],[' 0'],[' 1.12571'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6507e+07'],[' 8.68312e+06'],[' 0'],[' 4.32226e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
Model-Level  ,TA36,"[' 916550   (Deleted', ' 892639)']","[' 49       (Ratio', '   0.01%)']","[' 810      (Ratio', '   0.09%)']","[' 916550   (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 916550   (Average', '  1.69 Max', ' 1129 Sum', ' 1547860)']","[' 916458   (Average', '  1.68 Max', ' 1129 Sum', ' 1539705 Ratio', '  99.47%)']","[' 92       (Average', ' 88.64 Max', ' 284 Sum', '   8155 Ratio', '   0.53%)']", ,[' 31032   '],[' 1728    '],[' 30935   '],[' 16682   '],"[' 50042    (Atom=Atom', ' 15402 Body=Body', ' 8673 Other', ' 25967)']",[' Yes'],"[' 2081     (Eliminated', '    0 Frozen', ' 2081)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.223245'],[' 0'], ,[' 6.00175'],[' 0'],[' 0.197273'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.33592e+06'],[' 4.06284e+06'],[' 0'],[' 4.33151e+08'],[' 0'],[' 0'], , , , , , ,[' '],[' '],[' '],[' '],[' ']
Restarts     ,TA37,"[' 418      (Average Length', ' 201.77 Splits', ' 0)']","[' 2604466  (Deleted', ' 2547535)']","[' 48       (Ratio', '   0.00%)']","[' 936      (Ratio', '   0.04%)']","[' 2604466  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2604466  (Average', '  1.44 Max', ' 1126 Sum', ' 3737965)']","[' 2604368  (Average', '  1.43 Max', ' 1126 Sum', ' 3725501 Ratio', '  99.67%)']","[' 98       (Average', ' 127.18 Max', ' 313 Sum', '  12464 Ratio', '   0.33%)']", ,[' 30849   '],[' 1746    '],[' 30800   '],[' 16604   '],"[' 49808    (Atom=Atom', ' 15306 Body=Body', ' 8691 Other', ' 25811)']",[' Yes'],"[' 2147     (Eliminated', '    0 Frozen', ' 2147)']","[' 63       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.250061'],[' 0'], ,[' 64.0865'],[' 0'],[' 1.32417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29413e+07'],[' 6.70712e+06'],[' 0'],[' 7.98519e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
Model-Level  ,TA38,"[' 1674968  (Deleted', ' 1633633)']","[' 61       (Ratio', '   0.00%)']","[' 1043     (Ratio', '   0.06%)']","[' 1674968  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1674968  (Average', '  1.42 Max', ' 1201 Sum', ' 2375474)']","[' 1674882  (Average', '  1.41 Max', ' 1201 Sum', ' 2369853 Ratio', '  99.76%)']","[' 86       (Average', ' 65.36 Max', ' 204 Sum', '   5621 Ratio', '   0.24%)']", ,[' 30971   '],[' 1781    '],[' 30887   '],[' 17202   '],"[' 51602    (Atom=Atom', ' 15869 Body=Body', ' 8726 Other', ' 27007)']",[' Yes'],"[' 2147     (Eliminated', '    0 Frozen', ' 2147)']","[' 21       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.267321'],[' 0'], ,[' 32.2572'],[' 0'],[' 0.733739'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.42772e+06'],[' 5.33222e+06'],[' 0'],[' 3.73294e+09'],[' 0'],[' 0'], , , , , , ,[' '],[' '],[' '],[' '],[' ']
Conflicts    ,TA39,[' 792.4   '],"[' 289      (Average Length', ' 141.06 Splits', ' 0)']","[' 8027426  (Deleted', ' 7936276)']","[' 33       (Ratio', '   0.00%)']","[' 1580     (Ratio', '   0.02%)']","[' 8027426  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8027426  (Average', '  1.47 Max', ' 1072 Sum', ' 11766712)']","[' 8027295  (Average', '  1.46 Max', ' 1072 Sum', ' 11755325 Ratio', '  99.90%)']","[' 131      (Average', ' 86.92 Max', ' 223 Sum', '  11387 Ratio', '   0.10%)']", ,[' 31172   '],[' 1776    '],[' 31003   '],[' 16671   '],"[' 50009    (Atom=Atom', ' 15343 Body=Body', ' 8721 Other', ' 25945)']",[' Yes'],"[' 2057     (Eliminated', '    0 Frozen', ' 2057)']","[' 238      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.18164'],[' 0'], ,[' 79.2571'],[' 0'],[' 1.8041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.36434e+07'],[' 1.49114e+07'],[' 0'],[' 7.89283e+09'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' '],[' ']
Model-Level  ,TA40,"[' 972192   (Deleted', ' 950416)']","[' 24       (Ratio', '   0.00%)']","[' 555      (Ratio', '   0.06%)']","[' 972192   (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 972192   (Average', '  1.58 Max', ' 1165 Sum', ' 1539811)']","[' 972132   (Average', '  1.58 Max', ' 1165 Sum', ' 1534704 Ratio', '  99.67%)']","[' 60       (Average', ' 85.12 Max', ' 277 Sum', '   5107 Ratio', '   0.33%)']", ,[' 30852   '],[' 1723    '],[' 30793   '],[' 16618   '],"[' 49850    (Atom=Atom', ' 15343 Body=Body', ' 8668 Other', ' 25839)']",[' Yes'],"[' 2114     (Eliminated', '    0 Frozen', ' 2114)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.256627'],[' 0'], ,[' 5.53495'],[' 0'],[' 0.194365'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.62582e+06'],[' 4.17473e+06'],[' 0'],[' 3.32554e+08'],[' 0'],[' 0'], , , , , , ,[' '],[' '],[' '],[' '],[' ']
