Optimal Found Or Timeout,Instances,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 
,TA71,"[' 8993088  (Analyzed', ' 8887938)']","[' 18619    (Average', ' 477.36 Last', ' 252860)']",[' 5776.0  '],"[' 1025     (Average Length', ' 505.65 Splits', ' 0)']","[' 8887938  (Deleted', ' 8750077)']","[' 11       (Ratio', '   0.00%)']","[' 7141     (Ratio', '   0.08%)']","[' 8887938  (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8887938  (Average', '  3.68 Max', ' 8103 Sum', ' 32751239)']","[' 8886948  (Average', '  3.64 Max', ' 8103 Sum', ' 32367588 Ratio', '  98.83%)']","[' 990      (Average', ' 387.53 Max', ' 775 Sum', ' 383651 Ratio', '   1.17%)']", ,[' 364873  '],[' 12029   '],[' 363878  '],[' 215878  '],"[' 647630   (Atom=Atom', ' 205847 Body=Body', ' 112929 Other', ' 328854)']",[' Yes'],"[' 13034    (Eliminated', '    0 Frozen', ' 13034)']","[' 1366     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.43843'],[' 0'], ,[' 584.664'],[' 0'],[' 8.68989'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89071e+08'],[' 1.64588e+08'],[' 0'],[' 8.74399e+10'],[' 0'],[' 0'],[' 906 '],[' 1852 '],[' 2867 '],[' 3645 '],[' 4295 '],[' 5143 '],[' 6081 '],[' 6979 '],[' 7805 '],[' 8505 ']
,TA72,"[' 8544432  (Analyzed', ' 8452019)']","[' 18224    (Average', ' 463.79 Last', ' 4551)']",[' 5624.8  '],"[' 1093     (Average Length', ' 538.01 Splits', ' 0)']","[' 8452019  (Deleted', ' 8324733)']","[' 13       (Ratio', '   0.00%)']","[' 5395     (Ratio', '   0.06%)']","[' 8452019  (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8452019  (Average', '  3.16 Max', ' 8205 Sum', ' 26749089)']","[' 8451026  (Average', '  3.12 Max', ' 8205 Sum', ' 26341455 Ratio', '  98.48%)']","[' 993      (Average', ' 410.51 Max', ' 853 Sum', ' 407634 Ratio', '   1.52%)']", ,[' 360090  '],[' 11895   '],[' 359158  '],[' 213782  '],"[' 641342   (Atom=Atom', ' 203885 Body=Body', ' 112795 Other', ' 324662)']",[' Yes'],"[' 12963    (Eliminated', '    0 Frozen', ' 12963)']","[' 795      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.50828'],[' 0'], ,[' 585.099'],[' 0'],[' 8.10981'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69917e+08'],[' 1.47304e+08'],[' 0'],[' 8.19677e+10'],[' 0'],[' 0'],[' 690 '],[' 1718 '],[' 2518 '],[' 3281 '],[' 4339 '],[' 5043 '],[' 5964 '],[' 6717 '],[' 7309 '],[' 8147 ']
,TA73,"[' 9234972  (Analyzed', ' 9111731)']","[' 18764    (Average', ' 485.60 Last', ' 111183)']",[' 6162.9  '],"[' 1204     (Average Length', ' 590.70 Splits', ' 0)']","[' 9111731  (Deleted', ' 8987739)']","[' 11       (Ratio', '   0.00%)']","[' 5959     (Ratio', '   0.07%)']","[' 9111731  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9111731  (Average', '  3.55 Max', ' 8510 Sum', ' 32383116)']","[' 9111117  (Average', '  3.53 Max', ' 8510 Sum', ' 32145604 Ratio', '  99.27%)']","[' 614      (Average', ' 386.83 Max', ' 897 Sum', ' 237512 Ratio', '   0.73%)']", ,[' 362939  '],[' 11891   '],[' 362119  '],[' 216771  '],"[' 650309   (Atom=Atom', ' 206878 Body=Body', ' 112791 Other', ' 330640)']",[' Yes'],"[' 13071    (Eliminated', '    0 Frozen', ' 13071)']","[' 1075     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.365'],[' 0'], ,[' 568.95'],[' 0'],[' 8.2742'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95177e+08'],[' 1.69524e+08'],[' 0'],[' 7.25922e+10'],[' 0'],[' 0'],[' 1054 '],[' 1887 '],[' 2584 '],[' 3488 '],[' 4272 '],[' 5062 '],[' 5727 '],[' 6640 '],[' 7352 '],[' 8142 ']
,TA74,"[' 8496999  (Analyzed', ' 8409061)']","[' 17891    (Average', ' 470.02 Last', ' 170849)']",[' 5778.6  '],"[' 1140     (Average Length', ' 560.52 Splits', ' 0)']","[' 8409061  (Deleted', ' 8291188)']","[' 13       (Ratio', '   0.00%)']","[' 6014     (Ratio', '   0.07%)']","[' 8409061  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8409061  (Average', '  3.54 Max', ' 8156 Sum', ' 29790550)']","[' 8408023  (Average', '  3.50 Max', ' 8156 Sum', ' 29412653 Ratio', '  98.73%)']","[' 1038     (Average', ' 364.06 Max', ' 902 Sum', ' 377897 Ratio', '   1.27%)']", ,[' 360137  '],[' 11939   '],[' 359255  '],[' 213219  '],"[' 639653   (Atom=Atom', ' 203278 Body=Body', ' 112839 Other', ' 323536)']",[' Yes'],"[' 13057    (Eliminated', '    0 Frozen', ' 13057)']","[' 1054     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.71526'],[' 0'], ,[' 584.518'],[' 0'],[' 8.2518'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83268e+08'],[' 1.6012e+08'],[' 0'],[' 8.35688e+10'],[' 0'],[' 0'],[' 885 '],[' 1764 '],[' 2475 '],[' 3146 '],[' 4177 '],[' 4959 '],[' 5700 '],[' 6351 '],[' 7295 '],[' 7991 ']
,TA75,"[' 8667658  (Analyzed', ' 8492206)']","[' 18619    (Average', ' 456.10 Last', ' 9290)']",[' 5662.2  '],"[' 1226     (Average Length', ' 595.76 Splits', ' 0)']","[' 8492206  (Deleted', ' 8372217)']","[' 12       (Ratio', '   0.00%)']","[' 5749     (Ratio', '   0.07%)']","[' 8492206  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8492206  (Average', '  3.57 Max', ' 8614 Sum', ' 30291079)']","[' 8491525  (Average', '  3.53 Max', ' 8614 Sum', ' 30009967 Ratio', '  99.07%)']","[' 681      (Average', ' 412.79 Max', ' 967 Sum', ' 281112 Ratio', '   0.93%)']", ,[' 364263  '],[' 12125   '],[' 363455  '],[' 217711  '],"[' 653129   (Atom=Atom', ' 207584 Body=Body', ' 113025 Other', ' 332520)']",[' Yes'],"[' 13317    (Eliminated', '    0 Frozen', ' 13317)']","[' 948      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.58975'],[' 0'], ,[' 586.191'],[' 0'],[' 8.22106'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83601e+08'],[' 1.59375e+08'],[' 0'],[' 8.55097e+10'],[' 0'],[' 0'],[' 904 '],[' 1534 '],[' 2229 '],[' 3252 '],[' 4068 '],[' 5035 '],[' 5645 '],[' 6336 '],[' 7380 '],[' 8182 ']
,TA76,"[' 7968968  (Analyzed', ' 7873865)']","[' 17762    (Average', ' 443.30 Last', ' 46063)']",[' 5517.2  '],"[' 1141     (Average Length', ' 554.86 Splits', ' 0)']","[' 7873865  (Deleted', ' 7735383)']","[' 12       (Ratio', '   0.00%)']","[' 5883     (Ratio', '   0.07%)']","[' 7873865  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7873865  (Average', '  3.68 Max', ' 8280 Sum', ' 28959414)']","[' 7873044  (Average', '  3.62 Max', ' 8280 Sum', ' 28541459 Ratio', '  98.56%)']","[' 821      (Average', ' 509.08 Max', ' 912 Sum', ' 417955 Ratio', '   1.44%)']", ,[' 360558  '],[' 11838   '],[' 359663  '],[' 214821  '],"[' 644459   (Atom=Atom', ' 204981 Body=Body', ' 112738 Other', ' 326740)']",[' Yes'],"[' 12943    (Eliminated', '    0 Frozen', ' 12943)']","[' 991      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.23343'],[' 0'], ,[' 585.085'],[' 0'],[' 8.5189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76152e+08'],[' 1.54828e+08'],[' 0'],[' 8.83363e+10'],[' 0'],[' 0'],[' 799 '],[' 1568 '],[' 2389 '],[' 2979 '],[' 3646 '],[' 4306 '],[' 5205 '],[' 6033 '],[' 6862 '],[' 7619 ']
,TA77,"[' 8752520  (Analyzed', ' 8603537)']","[' 18121    (Average', ' 474.78 Last', ' 77545)']",[' 5637.2  '],"[' 1332     (Average Length', ' 647.65 Splits', ' 0)']","[' 8603537  (Deleted', ' 8467207)']","[' 10       (Ratio', '   0.00%)']","[' 5449     (Ratio', '   0.06%)']","[' 8603537  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8603537  (Average', '  3.45 Max', ' 8112 Sum', ' 29679321)']","[' 8602411  (Average', '  3.37 Max', ' 8112 Sum', ' 28979058 Ratio', '  97.64%)']","[' 1126     (Average', ' 621.90 Max', ' 1073 Sum', ' 700263 Ratio', '   2.36%)']", ,[' 359561  '],[' 11892   '],[' 358846  '],[' 214080  '],"[' 642236   (Atom=Atom', ' 204186 Body=Body', ' 112792 Other', ' 325258)']",[' Yes'],"[' 13177    (Eliminated', '    0 Frozen', ' 13177)']","[' 986      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.50665'],[' 0'], ,[' 575.932'],[' 0'],[' 8.19908'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9382e+08'],[' 1.70652e+08'],[' 0'],[' 7.81493e+10'],[' 0'],[' 0'],[' 892 '],[' 1509 '],[' 2170 '],[' 3009 '],[' 3725 '],[' 4633 '],[' 5244 '],[' 5974 '],[' 6682 '],[' 7491 ']
,TA78,"[' 8282675  (Analyzed', ' 8148569)']","[' 17285    (Average', ' 471.42 Last', ' 465393)']",[' 5806.5  '],"[' 1159     (Average Length', ' 569.00 Splits', ' 0)']","[' 8148569  (Deleted', ' 8005673)']","[' 8        (Ratio', '   0.00%)']","[' 4659     (Ratio', '   0.06%)']","[' 8148569  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8148569  (Average', '  3.06 Max', ' 8450 Sum', ' 24895627)']","[' 8147804  (Average', '  3.02 Max', ' 8450 Sum', ' 24592181 Ratio', '  98.78%)']","[' 765      (Average', ' 396.66 Max', ' 931 Sum', ' 303446 Ratio', '   1.22%)']", ,[' 360146  '],[' 11843   '],[' 359279  '],[' 214690  '],"[' 644066   (Atom=Atom', ' 204845 Body=Body', ' 112743 Other', ' 326478)']",[' Yes'],"[' 12976    (Eliminated', '    0 Frozen', ' 12976)']","[' 732      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.73344'],[' 0'], ,[' 580.609'],[' 0'],[' 8.24146'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70201e+08'],[' 1.48511e+08'],[' 0'],[' 8.28952e+10'],[' 0'],[' 0'],[' 779 '],[' 1565 '],[' 2676 '],[' 3436 '],[' 4109 '],[' 4839 '],[' 5643 '],[' 6538 '],[' 7165 '],[' 7936 ']
,TA79,"[' 7750524  (Analyzed', ' 7634472)']","[' 16776    (Average', ' 455.08 Last', ' 3386)']",[' 5586.6  '],"[' 1145     (Average Length', ' 559.03 Splits', ' 0)']","[' 7634472  (Deleted', ' 7512498)']","[' 12       (Ratio', '   0.00%)']","[' 5623     (Ratio', '   0.07%)']","[' 7634472  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7634472  (Average', '  3.75 Max', ' 8253 Sum', ' 28666734)']","[' 7633548  (Average', '  3.69 Max', ' 8253 Sum', ' 28183363 Ratio', '  98.31%)']","[' 924      (Average', ' 523.13 Max', ' 916 Sum', ' 483371 Ratio', '   1.69%)']", ,[' 361036  '],[' 11936   '],[' 360154  '],[' 215035  '],"[' 645101   (Atom=Atom', ' 205097 Body=Body', ' 112836 Other', ' 327168)']",[' Yes'],"[' 13054    (Eliminated', '    0 Frozen', ' 13054)']","[' 1012     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.81926'],[' 0'], ,[' 582.747'],[' 0'],[' 8.34193'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76068e+08'],[' 1.55247e+08'],[' 0'],[' 7.84774e+10'],[' 0'],[' 0'],[' 797 '],[' 1486 '],[' 2243 '],[' 3105 '],[' 3797 '],[' 4637 '],[' 5232 '],[' 5878 '],[' 6684 '],[' 7302 ']
,TA80,"[' 11420428 (Analyzed', ' 11263370)']","[' 25088    (Average', ' 448.95 Last', ' 1591)']",[' 5567.4  '],"[' 1162     (Average Length', ' 572.09 Splits', ' 0)']","[' 11263370 (Deleted', ' 11093615)']","[' 14       (Ratio', '   0.00%)']","[' 6035     (Ratio', '   0.05%)']","[' 11263370 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11263370 (Average', '  3.12 Max', ' 8579 Sum', ' 35093376)']","[' 11262453 (Average', '  3.08 Max', ' 8579 Sum', ' 34682085 Ratio', '  98.83%)']","[' 917      (Average', ' 448.52 Max', ' 926 Sum', ' 411291 Ratio', '   1.17%)']", ,[' 363588  '],[' 12099   '],[' 362733  '],[' 216751  '],"[' 650249   (Atom=Atom', ' 206650 Body=Body', ' 112999 Other', ' 330600)']",[' Yes'],"[' 13244    (Eliminated', '    0 Frozen', ' 13244)']","[' 903      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.4128'],[' 0'], ,[' 565.594'],[' 0'],[' 7.61973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9148e+08'],[' 1.60854e+08'],[' 0'],[' 7.71069e+10'],[' 0'],[' 0'],[' 1014 '],[' 1562 '],[' 2426 '],[' 3201 '],[' 3909 '],[' 4746 '],[' 5571 '],[' 6158 '],[' 6881 '],[' 7621 ']
